genename	transcript	log2FoldChange	padj
IGDCC3	NM_004884	-1.6445405676	1.36240754866096E-009
SHARPIN	NM_030974,NR_038270	-0.0324636522	0.9039554804
CITED4	NM_133467	0.6932491642	0.0023855545
LINC01087	NR_108087	-0.3198191824	0.2590451158
PRLR	NM_000949,NM_001204314,NM_001204315,NM_001204316,NM_001204317,NM_001204318,NR_037910	-0.4250332498	0.1271054022
RTEL1	NM_001283009,NM_001283010,NM_016434,NM_032957	-0.9629416526	4.53829295518468E-007
CSNK2B	NM_001282385,NM_001320	0.4302830694	0.0082501887
BHLHE41	NM_030762	0.001068354	0.9987461407
ZNF540	NM_001172225,NM_001172226,NM_152606	-0.6500103336	NA
TRMT61B	NM_017910	-0.0320551813	0.9303621505
C15orf38-AP3S2	NM_001199058	0.0908520732	0.8292523871
MAP1LC3C	NM_001004343	-0.1320576952	NA
SFXN2	NM_178858	2.1918320731	2.62007664636534E-051
IQCC	NM_001160042,NM_018134	-0.1837411397	0.6158743075
WWC3	NM_015691	0.2747547816	0.1069088862
REXO1	NM_020695	-0.0154944543	0.9668783937
CXorf56	NM_001170569,NM_001170570,NM_022101	-0.0369227562	0.8884240216
MAP9	NM_001039580	-1.2278484191	1.01374111260342E-008
RBPMS-AS1	NR_046205	-0.2188119025	NA
DLG2	NM_001142699,NM_001142700,NM_001142702,NM_001206769,NM_001300983,NM_001364	0.481684446	NA
LINC01003	NR_027387	-0.5055500931	0.0661103466
SIDT2	NM_001040455	0.507024832	0.0427798312
PUM2	NM_001282752,NM_001282790,NM_001282791,NM_015317	0.4536711243	0.000790379
ATG10	NM_001131028,NM_031482	0.5515083329	0.1139006521
DOLK	NM_014908	-0.5177278649	0.0033379601
ANXA9	NM_003568	-0.0675001151	0.7034158224
PGAP1	NM_024989	0.8995853607	0.0001198741
VKORC1L1	NM_001284342,NM_173517	-0.1474914743	0.4808472925
SUSD4	NM_001037175,NM_017982	-0.8442621238	6.74041320609803E-006
TLE4	NM_001282748,NM_001282749,NM_001282753,NM_001282760,NM_007005,NR_104239	2.227463763	1.77281023646466E-009
ASCC2	NM_001242906,NM_032204	0.3513545363	0.1445112387
PRX	NM_020956,NM_181882	-0.0227052421	0.9579273307
PGD	NM_002631	1.029380579	1.81812503782393E-013
MMP25	NM_022468	0.0530650268	0.9440903099
B3GNT2	NM_006577	-0.7590071093	1.04151533662101E-006
LPXN	NM_001143995,NM_004811	-0.3696170326	0.4982549941
MAPKAP1	NM_001006617,NM_001006618,NM_001006619,NM_001006620,NM_001006621,NM_024117	0.0721504398	0.6755562198
PIN4	NM_001170747,NM_006223,NR_033187	0.0914289162	0.7697501591
PLA2G4F	NM_213600,NR_033151	0.6402805475	0.0925519753
AKT1S1	NM_001098632,NM_001098633,NM_001278159,NM_001278160,NM_032375	0.2127545705	0.2557108388
USO1	NM_001290049,NM_003715	0.0159036276	0.9346844367
MAP1LC3B	NM_022818	0.4866774121	0.0157781018
PRR26	NR_027151,NR_027152	-0.0519451878	0.9379906631
MRPL27	NM_016504	-0.0840463549	0.7221462403
PEX13	NM_002618	-0.6424278198	3.49957209873929E-005
NNAT	NM_005386,NM_181689	-0.2361317469	0.7187625556
MDH1B	NM_001039845,NM_001282940,NR_104261	-0.4865895914	NA
ARHGAP27	NM_001282290,NM_174919,NM_199282	-0.3024306023	0.2271042914
FAM71F2	NM_001012454,NM_001128926,NM_001290254,NM_001290255	-0.260032932	NA
LENG8	NM_052925	-0.9937691964	2.80344682207038E-007
MYPOP	NM_001012643	0.0360311319	0.9391117813
FDPS	NM_001135821,NM_001135822,NM_001242824,NM_001242825,NM_002004	1.1866020604	1.14850353329133E-019
MSMB	NM_002443,NM_138634	0.637329271	0.0303962118
DDIT3	NM_001195053,NM_001195054,NM_001195055,NM_001195056,NM_001195057,NM_004083	0.0844405385	0.8070642512
HIVEP2	NM_006734	0.2878689444	0.2103168119
TMSB15B	NM_194324	0.1485011833	NA
TMEM56-RWDD3	NM_001199691	0.5221917095	0.3584614767
ZFP36	NM_003407	0.791397708	0.0002930611
SQSTM1	NM_001142298,NM_001142299,NM_003900	-0.0249658195	0.9006206703
DIP2C	NM_014974	-0.2397522531	0.3617094376
FGF12	NM_004113,NM_021032	0.0422963585	0.9204091258
KMT2C	NM_170606	0.3015345687	0.0306848497
SLC22A4	NM_003059	-0.4998942867	0.2243536331
PRUNE	NM_001303229,NM_001303242,NM_001303243,NM_021222,NR_130130,NR_130131,NR_130132,NR_130135	0.1786271377	0.3409520243
UACA	NM_001008224,NM_018003	-0.1787659249	0.4393512561
RALGAPB	NM_001282917,NM_001282918,NM_020336	-0.2880210504	0.0376536828
SH3BGR	NM_001001713,NM_007341	-0.052823413	0.9302339709
KCNK15	NM_022358	-0.6907014167	3.44367011759024E-006
CREBBP	NM_001079846,NM_004380	0.650537294	0.0088757148
LOC101926926	NR_125388	0.0165398544	NA
ZNF41	NM_007130,NM_153380	-0.0032973464	0.9901586374
LOC100505549	NM_001242804	-0.4140065109	0.4715262702
NDC80	NM_006101	2.1851765859	1.42263787452808E-020
NDUFAB1	NM_005003	-0.0834314432	0.7375343384
UBE3C	NM_014671	0.1799242476	0.2247206897
IL1RAP	NM_001167928,NM_001167929,NM_001167930,NM_001167931,NM_002182,NM_134470	0.3871033468	0.1942601811
PKN3	NM_013355	1.3474526029	0.0027796681
NRSN2-AS1	NR_109990	0.4908696535	0.2515646035
FANK1	NM_145235	-0.9803878876	0.0122300844
MDM1	NM_001205028,NM_001205029,NM_017440,NM_020128	0.0986740651	0.7650305347
NOL3	NM_001185057,NM_001276307,NM_001276309,NM_001276311,NM_001276312,NM_003946	0.3893741826	0.0915679444
MATN2	NM_002380,NM_030583	-1.5918111422	6.4610129144189E-026
TOP2A	NM_001067	1.9721764123	2.37022457282526E-036
FOXD3	NM_012183	0.6598624337	NA
STXBP3	NM_007269	-0.6237662348	0.0017127386
SNHG21	NR_110096,NR_110097,NR_110098,NR_110099,NR_110100	-0.8579912323	0.020150106
LRR1	NM_152329,NM_203467,NR_037792,NR_037793	0.3404117313	0.1105619477
PID1	NM_001100818,NM_017933	-0.2573890275	0.7057784882
ARHGAP19-SLIT1	NR_037909	0.2341795009	0.6330576992
STARD4	NM_139164	0.9441587556	0.0044237465
TBC1D13	NM_001286772,NM_018201	0.1769601673	0.4651387331
CCDC68	NM_001143829,NM_025214	-0.2700009004	0.6429885869
GUSBP2	NR_003504	-0.164402894	0.776325456
ZSCAN20	NM_145238	-0.0531051298	0.9118447202
ZNF324B	NM_207395	0.400875224	0.2345095748
ITGB6	NM_000888,NM_001282353,NM_001282354,NM_001282355,NM_001282388,NM_001282389,NM_001282390	-1.5307491429	2.09975970511909E-016
GPD1L	NM_015141	0.0646499471	0.7227603271
LOXL1-AS1	NR_040066,NR_040067,NR_040068,NR_040069,NR_040070	0.8048425732	0.0011761346
POLR2J	NM_006234	0.0738414481	0.7091223865
ACTR3	NM_001277140,NM_005721,NR_102318	0.1892296923	0.2347280742
SEPT5	NM_001009939,NM_002688	1.450838175	7.43721672635226E-014
TRERF1	NM_001297573,NM_033502	-0.876055537	1.89546825898289E-006
MRPS25	NM_022497	0.5761587385	0.0016494529
ZC3H15	NM_018471	-0.5204038365	1.46181995441358E-005
PPP1CB	NM_002709,NM_206876	-0.0433316545	0.804478514
VIPR1	NM_001251882,NM_001251883,NM_001251884,NM_001251885,NM_004624	0.1241881771	0.7715864681
TPRA1	NM_001136053,NM_001142646,NR_073377	-0.1712620258	0.4225050769
ZNF555	NM_001172775,NM_152791	-0.8429335442	0.0029986152
KDELR3	NM_006855,NM_016657	0.5913774751	0.0130243506
NCOA6	NM_001242539,NM_014071	0.5809624109	0.0101132783
F8	NM_000132,NM_019863	0.052302158	0.908466629
ATF1	NM_005171	-0.342368159	0.0399289141
VPS37B	NM_024667	0.2990027332	0.1779010881
ATXN7L2	NM_153340	-0.6242787823	0.0627894757
ATXN7	NM_000333,NM_001128149,NM_001177387	0.0776314831	0.6537680578
DCLK1	NM_001195415,NM_001195416,NM_001195430,NM_004734	1.0640079163	1.65166667684853E-008
PLXNA1	NM_032242	-0.0972923844	0.5517480218
MYH9	NM_002473	0.3201643897	0.0069789942
ZC3H11A	NM_014827	-0.5006528776	0.0008526557
AAGAB	NM_001271885,NM_001271886,NM_024666	-0.1896068194	0.145513507
ZNF283	NM_001297752,NM_181845	0.1406513795	0.6822173532
PYCARD-AS1	NR_102400	0.014167312	NA
IER3	NM_003897	-0.7961957602	0.0001430469
HNRNPA1P33	NR_003277	-0.7647172283	0.171278903
METTL20	NM_001135863,NM_001135864,NM_173802	-0.926627472	0.0827991699
PNPLA8	NM_001256007,NM_001256008,NM_001256009,NM_001256010,NM_001256011,NM_015723	-0.9725473991	1.28787383365632E-005
FAM86FP	NR_024254	0.1567844764	0.8123746363
RHCG	NM_016321,NR_110261	-0.0993831115	0.884397517
LPCAT2	NM_017839	-0.9485349696	8.58176826456471E-005
BOD1L1	NM_148894	-0.8235267674	5.1969363826321E-006
SLC25A24	NM_013386,NM_213651	0.4116578662	0.0050024119
TMED5	NM_001167830,NM_016040,NR_030761	-0.40550575	0.0179437921
POLR2F	NM_001301129,NM_001301130,NM_001301131,NM_021974,NR_125371	0.2531758136	0.2981555842
EHMT1	NM_001145527,NM_024757	0.1438876975	0.3319310897
ZRANB2	NM_005455,NM_203350	0.0481225349	0.8563689069
CDKL4	NM_001009565	1.0098448152	0.0586997752
HS2ST1	NM_001134492,NM_012262	-0.3503384328	0.0481549676
TMEM180	NM_024789	0.1401001231	0.7717683968
ATP6V0A4	NM_020632,NM_130840,NM_130841	0.1885894231	0.7220715117
CA5B	NM_007220	0.5159297992	0.0126193884
SNHG18	NR_045196	-0.4334212522	0.4389584058
FAM122C	NM_001170779,NM_001170780,NM_001170781,NM_001170782,NM_001170783,NM_001170784,NM_138819	1.162024565	0.0187785311
NEK6	NM_001145001,NM_001166167,NM_001166168,NM_001166169,NM_001166170,NM_001166171,NM_014397	1.3874572991	3.89031643801214E-012
APCDD1L	NM_153360	-0.4615249108	0.4640843352
PABPC5	NM_080832	-0.1523436202	NA
MSS51	NM_001024593	-0.964122534	0.0649947867
RABL6	NM_001173988,NM_001173989,NM_024718	0.1930444543	0.1276573937
LONRF1	NM_152271	0.4645575496	0.1149109494
CYP26B1	NM_001277742,NM_019885	1.0598815072	5.29785759348337E-005
IQCD	NM_138451	0.1937131234	0.7515397997
LRRC42	NM_001256409,NM_052940	0.1812747127	0.5133198041
LOC729737	NR_039983	-0.389155463	0.2228578342
DDX21	NM_001256910,NM_004728	0.0215819864	0.9096364959
TAF1L	NM_153809	-1.8472517596	0.0002192544
ZNF398	NM_020781,NM_170686	0.2093315746	0.2529301709
CLPTM1L	NM_030782	-0.2551823306	0.0678473516
VAV1	NM_001258206,NM_001258207,NM_005428	0.735566033	NA
ADH7	NM_000673,NM_001166504	0.1485136314	NA
XK	NM_021083	0.7280826616	0.0966166814
FBXW8	NM_012174,NM_153348	0.7366319589	7.4219856718811E-005
SNORA79	NR_003021	-0.7418680925	0.2067069501
ISY1	NM_001199469,NM_020701	-0.3426712382	0.0596449032
TGFA	NM_001099691,NM_003236	-0.0105184164	0.9747305384
NBPF13P	NR_103466	-0.660774145	0.2666448056
LOC100272216	NR_027439	-0.0703310127	0.9024703149
CACNB1	NM_000723,NM_199247,NM_199248	-0.469322716	0.3878688796
GUCY1A3	NM_000856,NM_001130682,NM_001130683,NM_001130684,NM_001130685,NM_001130687,NM_001256449	0.4937741988	0.250424108
GOT1	NM_002079	1.1234556378	4.65397443474177E-010
IBA57	NM_001010867	0.0366682053	0.9038148969
REEP5	NM_005669	-0.3978502633	0.0287405181
SERTAD3	NM_013368,NM_203344	-0.1342688252	0.4186353564
ARHGDIB	NM_001175	-0.0257266971	0.9716534966
PLEKHN1	NM_001160184,NM_032129	-0.1739210665	0.7717922126
FKBP7	NM_001135212,NM_181342	-0.0003580607	NA
CCDC85C	NM_001144995	0.3835246658	0.0155892918
GNPDA1	NM_005471	-0.0873211703	0.6473820523
RASSF5	NM_182663,NM_182664,NM_182665	0.505076009	0.3461776809
ADHFE1	NM_144650	-0.9666949976	0.0500051545
MATR3	NM_001194954,NM_001194955,NM_001194956,NM_001282278,NM_018834,NM_199189	-0.0326271216	0.86214311
FAM132A	NM_001014980	-0.4667212616	NA
LRRC39	NM_001256385,NM_001256386,NM_001256387,NM_144620	-1.0829484671	NA
NRON	NR_045006	-0.0650992759	NA
SLC39A1	NM_001271957,NM_001271958,NM_001271959,NM_001271960,NM_001271961,NM_014437	-0.157297822	0.1871037102
PCDHGA3	NM_018916,NM_032011	0.0982219359	0.8888616062
PJA2	NM_014819	0.0339316037	0.889942179
CD46	NM_002389,NM_153826,NM_172350,NM_172351,NM_172352,NM_172353,NM_172359,NM_172361	-0.708330646	0.0003183857
LRRC37A6P	NR_003525	-0.3265711451	0.3808844126
SATB2-AS1	NR_026830	-0.3911925535	0.5357581325
CDK12	NM_015083,NM_016507	0.5785728257	0.0014028089
SUV39H2	NM_001193424,NM_001193425,NM_001193426,NM_001193427,NM_024670,NR_034181	0.6187709809	0.0069789942
FAM127A	NM_001078171	0.3185168108	0.0861346794
LRP11	NM_032832	0.2690427003	0.0842281501
GRIK1-AS2	NR_033368	-0.2380356814	NA
RGL4	NM_153615	-0.5147625863	0.22046709
SSPO	NM_198455	-0.3402890462	0.5699506213
RAD21	NM_006265	0.2643199729	0.0160720991
LOC642852	NR_026943	-0.325210628	0.0679153297
LOC100129931	NR_033828	-0.0462507367	NA
SENP8	NM_001166340,NM_001172109,NM_001172110,NM_001172111,NM_145204	-0.220531856	0.4737216183
DERL1	NM_001134671,NM_024295	-0.4935570984	0.000001923
CEP162	NM_001286206,NM_014895	-0.5240226235	0.128904944
MAGEC3	NM_138702,NM_177456	-0.5409810209	NA
CSPG4	NM_001897	-0.5057294153	0.2778686193
E2F1	NM_005225	1.3673524373	6.54898412238232E-011
UQCRFS1	NM_006003	-0.1129817307	0.5426853593
FAM168A	NM_001286050,NM_001286051,NM_015159	0.4190452127	0.008447973
ACAA1	NM_001130410,NM_001607,NR_024024	0.4578033499	0.0055284667
VCP	NM_007126	0.4615652407	0.0007518672
TATDN3	NM_001042552,NM_001042553,NM_001146169,NM_001146170,NM_001146171	-0.2696025453	0.5616048955
STON1	NM_001198595,NM_006873	0.00124489	0.9980066834
SRRM3	NM_001110199,NM_001291831	0.0236076796	0.9448537219
SNRPB	NM_003091,NM_198216	0.4459614462	0.0012396445
PSMA1	NM_001143937,NM_002786,NM_148976	-0.475463191	0.0013024217
DNAH3	NM_017539	1.2861931366	0.0138321735
ELMO3	NM_024712	-0.2498203055	0.2709284416
ZNF471	NM_020813	-0.4088815275	NA
CRK	NM_005206,NM_016823	-0.518537227	5.39534704243946E-005
C18orf54	NM_001288980,NM_001288981,NM_001288982,NM_173529,NR_110234	0.596586625	0.0785574646
HMGN5	NM_030763	-0.2965101793	0.6423504915
SOD1	NM_000454	0.4945138161	0.0033905977
SRFBP1	NM_152546	-0.31256988	0.1822831165
CDK8	NM_001260	0.4297659194	0.0854396578
PELO	NM_015946	-0.0592019653	0.8096471787
ACVR1	NM_001105,NM_001111067	0.1392638186	0.5963442938
E2F7	NM_203394	1.2809326954	9.66902548148386E-008
FAM78B	NM_001017961	0.4556205536	NA
SPAST	NM_014946,NM_199436	-0.3795596105	0.0335849358
OS9	NM_001017956,NM_001017957,NM_001017958,NM_001261420,NM_001261421,NM_001261422,NM_001261423,NM_006812	-0.4267466772	0.0006829226
FMNL3	NM_175736,NM_198900	0.2566505694	0.5892604816
TRH	NM_007117	-0.366889613	NA
PHF3	NM_001290259,NM_001290260,NM_015153	-0.1231975335	0.5601460752
COQ5	NM_032314	-0.2022607341	0.3360498126
RNPC3	NM_017619	-0.3707781348	0.3638842499
INTS7	NM_001199809,NM_001199811,NM_001199812,NM_015434,NR_037667	0.4042924618	0.0394417818
LRRC4	NM_022143	-0.2437356716	0.6534484934
SLC48A1	NM_017842	0.4926340904	0.0397634626
NUTM2B	NM_001278495	-0.2964949625	0.5057697316
MPP5	NM_001256550,NM_022474	0.1729676763	0.2530458776
ACVR1C	NM_001111031,NM_001111032,NM_001111033,NM_145259	0.2272885742	NA
SPDYE5	NM_001099435	-0.3184800344	0.4640843352
PPFIA3	NM_003660,NR_103842	0.2674433725	0.3210197013
WNK2	NM_001282394,NM_006648	0.7286709337	0.0243368385
BAIAP3	NM_001199096,NM_001199097,NM_001199098,NM_001199099,NM_001286464,NM_003933	-0.3148693815	0.2391196569
LOC101928118	NR_125948,NR_125949	-0.0059311681	NA
SCARNA18	NR_003139	-0.3625266863	0.5789859122
FMNL2	NM_052905	-0.9047566346	0.0002197173
ATOX1	NM_004045	0.7206126854	0.0003868865
ZHX3	NM_015035	0.4937947133	0.0007682806
POM121L8P	NR_024583	0.5222319807	0.3204708935
NUP43	NM_198887,NR_104456	-0.0844138586	0.7138661593
THOC5	NM_001002877,NM_001002878,NM_001002879,NM_003678	0.2767351739	0.2914301116
AKAP8	NM_005858	-0.5767964194	0.0004023247
CCT6P3	NR_033416	-1.037073858	0.0002055701
LIME1	NM_017806	-2.2101759577	9.08879043664158E-017
SPERT	NM_001286341,NM_001286342,NM_152719	0.2764450297	0.6830801379
ANKRD20A11P	NR_027270	-0.3987280331	NA
SLC7A6OS	NM_032178	0.0328577685	0.9310572825
CCM2L	NM_080625	0.212969966	0.7532090021
PIP5K1P1	NR_027712	0.3526460413	NA
SULT1A2	NM_001054,NM_177528	-0.1724365895	NA
ZNF286B	NM_001145045	-0.8159727625	0.0070839173
ZNF223	NM_013361	0.491407216	0.1805561536
RPL27A	NM_000990	0.0540101345	0.7635241541
NUTM2A	NM_001099338	0.2980940036	0.6147272598
LINC00883	NR_028301,NR_028302	0.0107497556	0.9829075991
TRIM65	NM_001256124,NM_173547	-0.025486527	0.9170944104
SNX15	NM_147777	0.3361848872	0.403656823
C1orf174	NM_207356	-0.4664032107	0.0468047818
C12orf80	NM_001242696	-0.604284039	NA
SNHG7	NR_003672,NR_024542,NR_024543	-0.4864969005	0.0208598034
NBEAL2	NM_015175	0.1305474774	0.5444739032
ZIC4	NM_001168378,NM_001168379,NM_001243256,NM_032153,NR_033118,NR_033119,NR_040762	-0.1260206755	0.7841558685
TUBA4A	NM_001278552,NM_006000	1.0511964398	0.0289040431
VEGFA	NM_001025366,NM_001025367,NM_001025368,NM_001025369,NM_001025370,NM_001033756,NM_001171622,NM_001171624,NM_001204384,NM_001287044	-0.0984938012	0.6609439385
CAPN10	NM_023083,NM_023085	-0.593536494	0.0345495522
DGKD	NM_003648,NM_152879	-0.0273741901	0.9128964922
KIFC3	NM_001130099,NM_001130100,NM_005550	0.0636602913	0.8293827212
CACNG6	NM_031897,NM_145814,NM_145815,NR_102308	-2.0485307715	2.74365241754831E-005
VARS	NM_006295	0.5219548564	0.0675675969
DHX15	NM_001358	-0.1943765597	0.1155459852
SPECC1L-ADORA2A	NR_103546	-2.026195857	3.18980886010571E-008
CLN3	NM_000086,NM_001042432,NM_001286104,NM_001286105,NM_001286109,NM_001286110	0.161554109	0.3753911243
SZRD1	NM_001114600,NM_001271869,NR_073500,NR_073501,NR_073502,NR_073503	0.4162149939	0.0012509353
WTH3DI	NM_001077637	1.360620494	NA
SNX22	NM_024798,NR_073534	0.3424507215	0.5103831695
CRIP1	NM_001311	-0.7688280517	0.1363578845
FAM66C	NR_026788	0.3354728878	0.5873166434
GATA2-AS1	NR_125398	-0.0483313699	NA
VRK3	NM_001025778,NM_016440	0.261723449	0.3115029403
PIM1	NM_001243186	0.4733115228	0.0418676715
FOSB	NM_001114171,NM_006732	-0.6884485215	0.2453285025
KCTD15	NM_001129994,NM_001129995,NM_024076	0.2544305408	0.1210106966
PIK3C2G	NM_001288772,NM_001288774,NM_004570	0.1796543736	NA
MROH1	NM_001099280,NM_001099281,NM_001288814,NM_032450	-0.7478036268	1.08642921263149E-005
HDDC3	NM_001286451,NM_198527,NR_104447	0.3381264992	0.1010261592
GPR137	NM_001170726,NM_001170880,NM_001170881,NM_001177358,NM_020155	0.5056011244	0.0458303189
CHFR	NM_001161344,NM_001161345,NM_001161346,NM_001161347,NM_018223	-0.3414108437	0.0292445826
PLIN1	NM_001145311,NM_002666	-0.567113044	0.345205628
ETV3	NM_001145312,NM_005240	-0.0429672229	0.8993769008
SKP2	NM_001243120,NM_005983,NM_032637	0.4618301244	0.0545903183
NEURL1B	NM_001142651	1.3271782501	7.26048359003462E-013
RBM48	NM_032120	-0.4469204006	0.0391783271
PISD	NM_014338	0.1381921832	0.4319359692
TMEM62	NM_024956	0.0927003405	0.7731052177
AP1G1	NM_001030007,NM_001128	0.566487515	0.0001680626
LOC647859	NR_026578	-0.5919374265	0.1884532407
C4orf33	NM_001099783,NM_173487	0.8636757463	0.0692504092
CLDN20	NM_001001346	0.0731285529	NA
SGSM3	NM_001301849,NM_015705	-0.1907692116	0.4431024914
MALL	NM_005434	0.059768598	0.892399588
TMEM183A	NM_138391	0.090991616	0.669478632
ZNF613	NM_001031721,NM_024840	0.8632768234	0.0928434798
LINC01410	NR_121647	-0.8620289786	0.1098157513
STARD7	NM_020151	0.1861079491	0.1886489637
NSDHL	NM_001129765,NM_015922	0.1318325637	0.4778291463
XPOT	NM_007235	0.2093083319	0.1599634724
FAM24B-CUZD1	NR_037915	-1.980434326	0.0001289603
RPL5	NM_000969	0.1070453425	0.5061234062
VMO1	NM_001144939,NM_001144940,NM_001144941,NM_182566	-0.0815699514	0.9129637755
LHX4	NM_033343	-0.2797406687	0.6214728084
EEF1E1	NM_001135650,NM_004280	-0.217703707	0.3521703937
FZD8	NM_031866	-0.6921329029	0.03581866
CARF	NM_001104586,NM_001282910,NM_001282911,NM_001282912,NM_024744	-0.4687209473	0.1132508104
SMAGP	NM_001031628,NM_001033873	0.7278205087	0.0163858651
FKBP3	NM_002013	0.5568281366	4.89723294134411E-005
RPL23AP53	NR_003572	-0.3400310443	0.1705645454
FAM102B	NM_001010883	-0.2400653575	0.2323605877
ALDOA	NM_000034,NM_001127617,NM_001243177,NM_184041,NM_184043	1.0421252468	7.07157238496322E-026
SOWAHB	NM_001029870	-0.2319607223	0.4988320077
TSPYL2	NM_022117	-2.2017274926	4.43404991793346E-035
GTF2H2	NM_001515	-0.1466076815	0.6246851948
GCH1	NM_000161,NM_001024024,NM_001024070,NM_001024071	0.2270802318	0.2927947978
ATIC	NM_004044	1.3103843883	3.0861334094335E-016
ZBTB38	NM_001080412	-0.1598358801	0.4211066589
TTC32	NM_001008237	-0.5747163303	0.18401603
BMPR1A	NM_004329	-0.2889627652	0.0439902941
FTSJ1	NM_001282157,NM_012280,NM_177439	0.1712178743	0.5216397753
C2orf88	NM_001042519,NM_001042520,NM_001042521,NM_032321	-0.202678645	0.744837205
RGS19	NM_001039467,NM_005873	-0.0343111622	0.9047866576
SEZ6	NM_001098635,NM_001290202,NM_178860	0.5866747176	0.3345351353
FGF11	NM_001303460,NM_004112,NR_130156	0.3592771534	0.4300452542
HNRNPUL2-BSCL2	NR_037946	1.0042023706	4.44575555555927E-013
CHRNB1	NM_000747	0.025372006	0.9591630391
CRIM1	NM_016441	-0.7302837478	7.2499299093543E-005
SOS2	NM_006939	-0.1320484352	0.5909855148
HSF2	NM_001135564,NM_001243094,NM_004506	-0.3551292248	0.1165460357
SPDYE3	NM_001004351	-0.3953911824	0.5358914677
CSNK2A2	NM_001896	1.108843931	0.000000034
SENP7	NM_001077203,NM_001282801,NM_001282802,NM_001282803,NM_001282804,NM_020654	-0.8780126632	0.0001111548
FMN1	NM_001103184,NM_001277313,NM_001277314	1.0184093276	2.17165403665744E-013
PRRX2	NM_016307	0.4869721531	NA
CNTN2	NM_005076	-0.2943688248	NA
PRKAA1	NM_006251,NM_206907	-0.631222606	2.8615050780245E-005
SHH	NM_000193	2.2170259727	1.2639157130645E-007
HIST1H4C	NM_003542	1.7738234668	3.69181172419138E-041
MGC16142	NR_026902	-0.7450749699	0.2010026773
CCDC14	NM_022757	-0.2187712721	0.3240763179
NEDD4L	NM_001144964,NM_001144965,NM_001144966,NM_001144967,NM_001144968,NM_001144969,NM_001144970,NM_001144971,NM_001243960,NM_015277	-0.0982033348	0.7099693728
FBN2	NM_001999	-1.9733943745	0.000011963
LINC01419	NR_122034	0.131384506	NA
WASF2	NM_001201404,NM_006990	0.9879554974	4.57438313090226E-009
NCK2	NM_001004720,NM_001004722,NM_003581	-0.5761032962	0.006548147
AAMDC	NM_024684	0.311651393	0.3958430082
ACP2	NM_001302489,NM_001302490,NM_001302491,NM_001302492,NM_001610	0.1814139381	0.4348007797
ATP13A3	NM_024524	-0.0417059303	0.8488081121
TBC1D20	NM_144628,NR_111901	-0.1015680886	0.6522728893
SARAF	NM_001284239,NM_016127	-0.1146725606	0.5714266681
LYRM2	NM_020466,NR_028493,NR_028494,NR_028495	-0.2754353611	0.1767708619
LOC100506071	NR_038356	-0.0911809427	NA
FAM49B	NM_001256763,NM_016623,NR_046359,NR_046360,NR_046361	-0.1935372313	0.1717265321
TBCD	NM_005993	0.8262439332	3.65445288845636E-006
RPL13	NM_000977,NM_001243130,NM_001243131,NM_033251	0.7860881902	2.48042798909805E-015
MIR133A1HG	NR_110369	-0.0915448328	NA
BBS7	NM_018190,NM_176824	0.2191199018	0.5951221663
GMPPA	NM_013335,NM_205847	0.315604473	0.1038927814
NWD2	NM_001144990	-0.7682483455	NA
ZSCAN12P1	NR_024063	-0.7672417198	0.0240341595
FAM60A	NM_001135811,NM_001135812,NM_021238	0.5090731778	0.0090333199
NOL7	NM_016167	-0.061743747	0.776325456
ARL2	NM_001199745,NM_001667	0.7768009864	0.000395187
TBC1D15	NM_001146213,NM_001146214,NM_022771,NR_027449	-0.4230203253	0.0761437249
FAM3C	NM_001040020,NM_014888	-0.4839395418	0.0192045467
ZNF821	NM_001201552,NM_001201553,NM_001201554,NM_001201556,NM_017530	0.6944967964	0.0273811759
SPRED2	NM_001128210,NM_181784	0.8989465699	2.56547298862441E-005
PMPCB	NM_004279	0.0321761203	0.8659253648
COX16	NM_001204090,NM_016468	-0.3245864123	0.0573835597
CHD4	NM_001273,NM_001297553	0.3204909721	0.0256704477
TPPP	NM_007030	0.2099742321	0.6617382313
RHOG	NM_001665	-0.1652155689	0.6805047447
CLSPN	NM_001190481,NM_022111	1.7083035932	5.83256010942045E-021
C9orf3	NM_001193329,NM_001193331,NM_032823	-1.0369171131	3.65748911471188E-007
TRAPPC2	NM_001011658,NM_001128835,NM_014563	-0.0639106026	0.8201343627
MASP2	NM_006610,NM_139208	-0.8150037118	0.125279721
TMPRSS13	NM_001077263,NM_001206789,NM_001206790,NM_001244995	-0.1749691047	0.5493430001
FBXO36	NM_174899	0.0927155463	0.823777666
DHRSX	NM_145177,NM_145177_chrY:2087554_2369015	-0.026889277	0.9316169467
EDA	NM_001005609,NM_001005610,NM_001005612,NM_001005613,NM_001399	0.8218572286	0.0252956167
ZNF570	NM_001300993,NM_144694	0.201075155	0.670920158
LOC100996255	NR_102756	0.2512493962	0.672965455
TSPAN17	NM_001006616,NM_012171,NM_130465	-0.0034200752	0.9875450721
ULK3	NM_001099436,NM_001284364,NM_001284365,NR_104307,NR_104308,NR_104309	-1.3535894654	6.04792658081158E-026
ORC4	NM_001190879,NM_001190881,NM_001190882,NM_002552,NM_181741,NM_181742	-0.173091942	0.2593293164
TMEM65	NM_194291	0.0115480632	0.965027331
NEK10	NM_199347	0.2314908643	NA
ANAPC13	NM_001242374,NM_001242375,NM_015391	0.1761296242	0.3758504591
KLHDC7A	NM_152375	-0.1668674325	0.7855539182
PSENEN	NM_001281532,NM_172341	-0.2085748872	0.2914812755
